k,add,contains,remove
2, 2201, 952, 973
5, 1565, 935, 996
8, 1521, 1003, 923
11, 1413, 935, 951
14, 1299, 977, 1005
17, 1345, 994, 958
20, 1264, 940, 1054
23, 1251, 992, 1005
26, 1266, 991, 955
29, 1254, 940, 1003
32, 1280, 1083, 1043
35, 1263, 983, 948
38, 1238, 995, 1068
41, 1314, 991, 1029
44, 1269, 931, 1004
47, 1173, 1048, 1021
50, 1276, 999, 1033
53, 1231, 1002, 1058
56, 1199, 1114, 906
59, 1163, 1003, 1062
62, 1085, 996, 1063
65, 1256, 944, 1006
68, 1160, 1074, 1002
71, 1267, 927, 1003
74, 1200, 993, 1012
77, 1155, 1004, 1048
80, 1273, 994, 1108
83, 1268, 955, 1096
86, 1110, 1103, 1010
89, 1257, 894, 996
92, 1353, 939, 1019
95, 1318, 996, 965
98, 1279, 1065, 1056
101, 1323, 1055, 1013
104, 1165, 996, 1076
107, 1134, 1039, 947
110, 1262, 938, 1072
113, 1133, 1049, 998
116, 1180, 1014, 1004
119, 1187, 999, 1006
122, 1280, 941, 1012
125, 1215, 1070, 1022
128, 1095, 1063, 1074
131, 1320, 943, 955
134, 1178, 1067, 1059
137, 1256, 972, 1002
140, 1248, 971, 1225
143, 1177, 1004, 1120
146, 1232, 889, 1007
149, 1282, 1006, 1025
152, 1501, 903, 988
155, 1195, 935, 1052
158, 1263, 1013, 1055
161, 1214, 953, 1060
164, 1224, 993, 1028
167, 1200, 992, 998
170, 1211, 997, 1011
173, 1254, 1046, 915
176, 1185, 996, 998
179, 1195, 1000, 1031
182, 1157, 1063, 1019
185, 1102, 1058, 1073
188, 1153, 1006, 1078
191, 1233, 1009, 1071
194, 1194, 1101, 1043
197, 1344, 952, 1074
200, 1217, 1044, 1027
203, 1213, 997, 1101
206, 1359, 1096, 1046
209, 1197, 1002, 1003
212, 1137, 982, 1081
215, 1086, 1041, 1072
218, 1077, 1045, 992
221, 1192, 1045, 948
224, 1196, 978, 1006
227, 1180, 998, 1004
230, 1145, 1041, 1020
233, 1132, 975, 995
236, 1186, 1016, 1016
239, 1176, 930, 996
242, 1068, 980, 996
245, 1190, 987, 995
248, 1304, 885, 996
251, 1171, 1008, 1112
254, 1231, 953, 956
257, 1138, 984, 995
260, 1204, 994, 1017
263, 1148, 1012, 1055
266, 1324, 961, 1032
269, 1377, 895, 1021
272, 1089, 1000, 1060
275, 1129, 995, 1082
278, 1165, 1051, 1085
281, 1177, 995, 1036
284, 1212, 997, 1023
287, 1200, 980, 1014
290, 1188, 997, 1005
293, 1140, 984, 1015
296, 1199, 1081, 1016
299, 1209, 991, 1000
302, 1133, 1055, 1016
305, 1213, 999, 1003
308, 1241, 1072, 1122
311, 1265, 969, 1014
314, 1207, 1081, 1107
317, 1141, 1068, 1011
320, 1089, 999, 1123
323, 1129, 1011, 1089
326, 1193, 1002, 959
329, 1186, 939, 1009
332, 1150, 1003, 1075
335, 1135, 1125, 1048
338, 1210, 990, 1005
341, 1163, 994, 1061
344, 1313, 942, 955
347, 1137, 992, 1008
350, 1135, 988, 1006
353, 1179, 1003, 1029
356, 1209, 990, 1024
359, 1290, 958, 1072
362, 1204, 1039, 958
365, 1167, 995, 1081
368, 1135, 984, 1056
371, 1238, 950, 1145
374, 1298, 901, 1014
377, 1185, 998, 1002
380, 1198, 1010, 1018
383, 1158, 1054, 1062
386, 1260, 1018, 966
389, 1087, 1073, 1132
392, 1191, 990, 995
395, 1195, 993, 1030
398, 1133, 989, 1000
401, 1211, 986, 1006
404, 1129, 979, 1123
407, 1274, 1016, 1001
410, 1156, 1000, 1046
413, 1137, 1069, 1012
416, 1208, 993, 944
419, 1221, 1001, 1007
422, 1116, 983, 1016
425, 1134, 987, 1008
428, 1194, 940, 1061
431, 1466, 1094, 933
434, 1177, 1020, 1010
437, 1227, 1099, 1106
440, 1190, 986, 1050
443, 1126, 987, 1068
446, 1189, 984, 1004
449, 1257, 1004, 1025
452, 1184, 1062, 960
455, 1076, 1006, 1222
458, 1159, 880, 996
461, 1120, 929, 1054
464, 1245, 939, 938
467, 1138, 1131, 1023
470, 1126, 1050, 1041
473, 1247, 1036, 1110
476, 1172, 1005, 1047
479, 1283, 1015, 901
482, 1074, 1062, 1099
485, 1120, 1006, 1079
488, 1113, 998, 1012
491, 1124, 1045, 1022
494, 1231, 933, 940
497, 1159, 885, 1055
500, 1241, 943, 1031

